team,season,wins,losses,_id
UConn,2021,1,11,67127c950f4ebd8209417016
UConn,2022,6,7,67127c950f4ebd8209417017
UConn,2023,3,9,67127c950f4ebd8209417018
UConn,2024,0,0,67127c950f4ebd8209417019
NC State,2016,7,6,67127c950f4ebd820941701a
NC State,2017,9,4,67127c950f4ebd820941701b
NC State,2018,9,4,67127c950f4ebd820941701c
NC State,2019,4,8,67127c950f4ebd820941701d
NC State,2020,8,4,67127c950f4ebd820941701e
NC State,2021,9,3,67127c950f4ebd820941701f
NC State,2022,8,5,67127c950f4ebd8209417020
NC State,2023,9,4,67127c950f4ebd8209417021
NC State,2024,0,0,67127c950f4ebd8209417022
Maryland,2016,6,7,67127c950f4ebd8209417023
Maryland,2017,4,8,67127c950f4ebd8209417024
Maryland,2018,5,7,67127c950f4ebd8209417025
Maryland,2019,3,9,67127c950f4ebd8209417026
Maryland,2020,2,3,67127c950f4ebd8209417027
Maryland,2021,7,6,67127c950f4ebd8209417028
Maryland,2022,8,5,67127c950f4ebd8209417029
Maryland,2023,8,5,67127c950f4ebd820941702a
Maryland,2024,0,0,67127c950f4ebd820941702b
California,2016,5,7,67127c950f4ebd820941702c
California,2017,5,7,67127c950f4ebd820941702d
California,2018,7,6,67127c950f4ebd820941702e
California,2019,8,5,67127c950f4ebd820941702f
California,2020,1,3,67127c950f4ebd8209417030
California,2021,5,7,67127c950f4ebd8209417031
California,2022,4,8,67127c950f4ebd8209417032
California,2023,6,7,67127c950f4ebd8209417033
California,2024,0,0,67127c950f4ebd8209417034
North Carolina,2016,8,5,67127c950f4ebd8209417035
North Carolina,2017,3,9,67127c950f4ebd8209417036
North Carolina,2018,2,9,67127c950f4ebd8209417037
North Carolina,2019,7,6,67127c950f4ebd8209417038
North Carolina,2020,8,4,67127c950f4ebd8209417039
North Carolina,2021,6,7,67127c950f4ebd820941703a
North Carolina,2022,9,5,67127c950f4ebd820941703b
North Carolina,2023,8,5,67127c950f4ebd820941703c
North Carolina,2024,0,0,67127c950f4ebd820941703d
Iowa,2016,8,5,67127c950f4ebd820941703e
Iowa,2017,8,5,67127c950f4ebd820941703f
Iowa,2018,9,4,67127c950f4ebd8209417040
Iowa,2019,10,3,67127c950f4ebd8209417041
Iowa,2020,6,2,67127c950f4ebd8209417042
Iowa,2021,10,4,67127c950f4ebd8209417043
Iowa,2022,8,5,67127c950f4ebd8209417044
Iowa,2023,10,4,67127c950f4ebd8209417045
Iowa,2024,0,0,67127c950f4ebd8209417046
Florida State,2016,10,3,67127c950f4ebd8209417047
Florida State,2017,7,6,67127c950f4ebd8209417048
Florida State,2018,5,7,67127c950f4ebd8209417049
Florida State,2019,6,7,67127c950f4ebd820941704a
Florida State,2020,3,6,67127c950f4ebd820941704b
Florida State,2021,5,7,67127c950f4ebd820941704c
Florida State,2022,10,3,67127c950f4ebd820941704d
Florida State,2023,13,1,67127c950f4ebd820941704e
Florida State,2024,0,0,67127c950f4ebd820941704f
Northwestern,2016,7,6,67127c950f4ebd8209417050
Northwestern,2017,10,3,67127c950f4ebd8209417051
Northwestern,2018,9,5,67127c950f4ebd8209417052
Northwestern,2019,3,9,67127c950f4ebd8209417053
Northwestern,2020,7,2,67127c950f4ebd8209417054
Northwestern,2021,3,9,67127c950f4ebd8209417055
Northwestern,2022,1,11,67127c950f4ebd8209417056
Northwestern,2023,8,5,67127c950f4ebd8209417057
Northwestern,2024,0,0,67127c950f4ebd8209417058
Western Michigan,2016,13,1,67127c950f4ebd8209417059
Western Michigan,2017,6,6,67127c950f4ebd820941705a
Western Michigan,2018,7,6,67127c950f4ebd820941705b
Western Michigan,2019,7,6,67127c950f4ebd820941705c
Western Michigan,2020,4,2,67127c950f4ebd820941705d
Western Michigan,2021,8,5,67127c950f4ebd820941705e
Western Michigan,2022,5,7,67127c950f4ebd820941705f
Western Michigan,2023,4,8,67127c950f4ebd8209417060
Western Michigan,2024,0,0,67127c950f4ebd8209417061
Penn State,2016,11,3,67127c950f4ebd8209417062
Penn State,2017,11,2,67127c950f4ebd8209417063
Penn State,2018,9,4,67127c950f4ebd8209417064
Penn State,2019,11,2,67127c950f4ebd8209417065
Penn State,2020,4,5,67127c950f4ebd8209417066
Penn State,2021,7,6,67127c950f4ebd8209417067
Penn State,2022,11,2,67127c950f4ebd8209417068
Penn State,2023,10,3,67127c950f4ebd8209417069
Penn State,2024,0,0,67127c950f4ebd820941706a
Ole Miss,2016,5,7,67127c950f4ebd820941706b
Ole Miss,2017,6,6,67127c950f4ebd820941706c
Ole Miss,2018,5,7,67127c950f4ebd820941706d
Ole Miss,2019,4,8,67127c950f4ebd820941706e
Ole Miss,2020,5,5,67127c950f4ebd820941706f
Ole Miss,2021,10,3,67127c950f4ebd8209417070
Ole Miss,2022,8,5,67127c950f4ebd8209417071
Ole Miss,2023,11,2,67127c950f4ebd8209417072
Ole Miss,2024,0,0,67127c950f4ebd8209417073
Tulane,2016,4,8,67127c950f4ebd8209417074
Tulane,2017,5,7,67127c950f4ebd8209417075
Tulane,2018,7,6,67127c950f4ebd8209417076
Tulane,2019,7,6,67127c950f4ebd8209417077
Tulane,2020,6,6,67127c950f4ebd8209417078
Tulane,2021,2,10,67127c950f4ebd8209417079
Tulane,2022,12,2,67127c950f4ebd820941707a
Tulane,2023,11,3,67127c950f4ebd820941707b
Tulane,2024,0,0,67127c950f4ebd820941707c
UCF,2016,6,7,67127c950f4ebd820941707d
UCF,2017,13,0,67127c950f4ebd820941707e
UCF,2018,12,1,67127c950f4ebd820941707f
UCF,2019,10,3,67127c950f4ebd8209417080
UCF,2020,6,4,67127c950f4ebd8209417081
